,Product Name,Discounted Price,Average Rating,Description,Total Ratings,Total Reviews,Model Type,Color,Storage Space
0,"Apple iPhone 15 (Black, 128 GB)",57999,4.6,"128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",152338,4932,iPhone 15,Black,128 GB
1,"Apple iPhone 15 (Blue, 128 GB)",57999,4.6,"128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",152338,4932,iPhone 15,Blue,128 GB
2,"Apple iPhone 15 (Pink, 128 GB)",57999,4.6,"128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",152338,4932,iPhone 15,Pink,128 GB
3,"Apple iPhone 15 (Green, 128 GB)",57999,4.6,"128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",152338,4932,iPhone 15,Green,128 GB
4,"Apple iPhone 15 Plus (Blue, 128 GB)",65999,4.6,"128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",23730,1228,iPhone 15 Plus,Blue,128 GB
5,"Apple iPhone 15 Plus (Pink, 128 GB)",65999,4.6,"128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",23730,1228,iPhone 15 Plus,Pink,128 GB
6,"Apple iPhone 15 Plus (Green, 128 GB)",65999,4.6,"128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",23730,1228,iPhone 15 Plus,Green,128 GB
7,"Apple iPhone 15 Plus (Black, 128 GB)",65999,4.6,"128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",23730,1228,iPhone 15 Plus,Black,128 GB
8,"Apple iPhone 15 (Black, 256 GB)",67999,4.6,"256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",152338,4932,iPhone 15,Black,256 GB
9,"Apple iPhone 15 (Pink, 256 GB)",67999,4.6,"256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",152338,4932,iPhone 15,Pink,256 GB
10,"Apple iPhone 15 (Blue, 256 GB)",67999,4.6,"256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",152338,4932,iPhone 15,Blue,256 GB
11,"Apple iPhone 15 (Green, 256 GB)",67999,4.6,"256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",152338,4932,iPhone 15,Green,256 GB
13,"Apple iPhone 15 Pro (Blue Titanium, 256 GB)",115999,4.6,"256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP + 12MP | 12MP Front CameraA17 Pro Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",2090,102,iPhone 15 Pro,Blue Titanium,256 GB
